env_name,algorithm,alpha,gamma,epsilon,minimum_reward,maximum_reward
Taxi-v3,Q-learning,0.7,0.5,0.1,-632,15
Taxi-v3,DoubleQ-learning,0.7,0.5,0.1,-623,-12
CliffWalking-v0,Q-learning,0.7,0.9,0.1,-1770,-13
CliffWalking-v0,DoubleQ-learning,0.7,0.9,0.1,-764214,-17
Taxi-v3,Q-learning,0.7,0.9,0.1,-614,15
Taxi-v3,DoubleQ-learning,0.7,0.9,0.1,-623,12
CliffWalking-v0,Q-learning,0.8,0.1,0.1,-1996,-13
CliffWalking-v0,DoubleQ-learning,0.8,0.1,0.1,-816631,-17
Taxi-v3,Q-learning,0.8,0.1,0.1,-605,14
Taxi-v3,DoubleQ-learning,0.8,0.1,0.1,-632,-1
CliffWalking-v0,Q-learning,0.8,0.5,0.1,-1903,-13
CliffWalking-v0,DoubleQ-learning,0.8,0.5,0.1,-3347018,-17
Taxi-v3,Q-learning,0.8,0.5,0.1,-623,15
Taxi-v3,DoubleQ-learning,0.8,0.5,0.1,-605,1
CliffWalking-v0,Q-learning,0.8,0.9,0.1,-1665,-13
CliffWalking-v0,DoubleQ-learning,0.8,0.9,0.1,-8112628,-17
Taxi-v3,Q-learning,0.8,0.9,0.1,-605,15
Taxi-v3,DoubleQ-learning,0.8,0.9,0.1,-614,14
CliffWalking-v0,Q-learning,0.9,0.1,0.1,-2192,-13
CliffWalking-v0,DoubleQ-learning,0.9,0.1,0.1,-5185289,-17
Taxi-v3,Q-learning,0.9,0.1,0.1,-605,15
Taxi-v3,DoubleQ-learning,0.9,0.1,0.1,-614,8
CliffWalking-v0,Q-learning,0.9,0.5,0.1,-1709,-13
CliffWalking-v0,DoubleQ-learning,0.9,0.5,0.1,-250108,-17
Taxi-v3,Q-learning,0.9,0.5,0.1,-596,15
Taxi-v3,DoubleQ-learning,0.9,0.5,0.1,-641,13
CliffWalking-v0,Q-learning,0.9,0.9,0.1,-1605,-13
CliffWalking-v0,DoubleQ-learning,0.9,0.9,0.1,-354902,-17
Taxi-v3,Q-learning,0.9,0.9,0.1,-587,14
Taxi-v3,DoubleQ-learning,0.9,0.9,0.1,-641,14
